
          t           a           e           i          Om           u           w        teta 
     120.600    7042.999       0.004       1.716       1.318       5.688       0.579       5.109
     120.700    7043.057       0.004       1.716       1.318       5.688       0.579       5.110
     120.800    7043.115       0.004       1.716       1.318       5.688       0.579       5.110
     120.900    7043.173       0.004       1.716       1.318       5.689       0.578       5.110
     121.000    7043.230       0.004       1.716       1.318       5.689       0.578       5.110
     121.100    7043.288       0.004       1.716       1.318       5.689       0.578       5.111
     121.200    7043.347       0.004       1.716       1.318       5.689       0.578       5.111
     121.300    7043.405       0.004       1.716       1.318       5.689       0.578       5.111
     121.400    7043.463       0.004       1.716       1.318       5.689       0.578       5.111
     121.500    7043.521       0.004       1.716       1.318       5.689       0.578       5.111
     121.600    7043.579       0.004       1.717       1.318       5.689       0.578       5.112
     121.700    7043.637       0.004       1.717       1.318       5.689       0.577       5.112
     121.800    7043.696       0.004       1.717       1.318       5.689       0.577       5.112
     121.900    7043.754       0.004       1.717       1.318       5.690       0.577       5.112
     122.000    7043.812       0.004       1.717       1.318       5.690       0.577       5.113
     122.100    7043.871       0.004       1.717       1.318       5.690       0.577       5.113
     122.200    7043.929       0.004       1.717       1.318       5.690       0.577       5.113
     122.300    7043.988       0.004       1.717       1.318       5.690       0.577       5.113
     122.400    7044.046       0.004       1.717       1.318       5.690       0.577       5.114
     122.500    7044.105       0.004       1.717       1.318       5.690       0.576       5.114
     122.600    7044.163       0.004       1.717       1.318       5.690       0.576       5.114
     122.700    7044.222       0.005       1.717       1.318       5.690       0.576       5.114
     122.800    7044.281       0.005       1.717       1.318       5.691       0.576       5.114
     122.900    7044.340       0.005       1.717       1.318       5.691       0.576       5.115
     123.000    7044.398       0.005       1.717       1.318       5.691       0.576       5.115
     123.100    7044.457       0.005       1.717       1.318       5.691       0.576       5.115
     123.200    7044.516       0.005       1.717       1.318       5.691       0.576       5.115
     123.300    7044.575       0.005       1.717       1.318       5.691       0.576       5.116
     123.400    7044.634       0.005       1.717       1.318       5.691       0.575       5.116
     123.500    7044.693       0.005       1.717       1.318       5.691       0.575       5.116
     123.600    7044.752       0.005       1.717       1.318       5.691       0.575       5.116
     123.700    7044.811       0.005       1.717       1.318       5.691       0.575       5.116
     123.800    7044.870       0.005       1.717       1.318       5.692       0.575       5.117
     123.900    7044.929       0.005       1.717       1.318       5.692       0.575       5.117
     124.000    7044.989       0.005       1.717       1.318       5.692       0.575       5.117
     124.100    7045.048       0.005       1.717       1.318       5.692       0.575       5.117
     124.200    7045.107       0.005       1.717       1.318       5.692       0.574       5.118
     124.300    7045.167       0.005       1.717       1.317       5.692       0.574       5.118
     124.400    7045.226       0.005       1.717       1.317       5.692       0.574       5.118
     124.500    7045.285       0.005       1.717       1.317       5.692       0.574       5.118
     124.600    7045.345       0.005       1.717       1.317       5.692       0.574       5.118
     124.700    7045.404       0.005       1.717       1.317       5.693       0.574       5.119
     124.800    7045.464       0.005       1.717       1.317       5.693       0.574       5.119
     124.900    7045.523       0.005       1.717       1.317       5.693       0.574       5.119
     125.000    7045.583       0.005       1.717       1.317       5.693       0.573       5.119
