
          t           x           y           z          Vx          Vy          Vz           m        Vхар 
       113.8     888.952    5755.548   -3941.364       1.865       3.949       6.155        6917    0.039648
       113.9     889.139    5755.943   -3940.748       1.865       3.949       6.156        6917    0.039935
       114.0     889.325    5756.338   -3940.133       1.865       3.948       6.157        6916    0.040222
       114.1     889.512    5756.732   -3939.517       1.865       3.948       6.157        6915    0.040509
       114.2     889.698    5757.127   -3938.901       1.864       3.947       6.158        6915    0.040797
       114.3     889.885    5757.522   -3938.286       1.864       3.947       6.158        6914    0.041084
       114.4     890.071    5757.916   -3937.670       1.864       3.946       6.159        6914    0.041371
       114.5     890.258    5758.311   -3937.054       1.863       3.946       6.159        6913    0.041658
       114.6     890.444    5758.706   -3936.438       1.863       3.946       6.160        6912    0.041945
       114.7     890.630    5759.100   -3935.822       1.863       3.945       6.160        6912    0.042232
       114.8     890.817    5759.495   -3935.206       1.863       3.945       6.161        6911    0.042520
       114.9     891.003    5759.889   -3934.590       1.862       3.944       6.161        6911    0.042807
       115.0     891.189    5760.284   -3933.974       1.862       3.944       6.162        6910    0.043094
       115.1     891.375    5760.678   -3933.357       1.862       3.943       6.162        6909    0.043381
       115.2     891.561    5761.072   -3932.741       1.862       3.943       6.163        6909    0.043668
       115.3     891.748    5761.466   -3932.125       1.861       3.942       6.163        6908    0.043955
       115.4     891.934    5761.861   -3931.509       1.861       3.942       6.164        6908    0.044242
       115.5     892.120    5762.255   -3930.892       1.861       3.942       6.164        6907    0.044529
       115.6     892.306    5762.649   -3930.276       1.861       3.941       6.165        6906    0.044817
       115.7     892.492    5763.043   -3929.659       1.860       3.941       6.165        6906    0.045104
       115.8     892.678    5763.437   -3929.043       1.860       3.940       6.166        6905    0.045391
       115.9     892.864    5763.831   -3928.426       1.860       3.940       6.166        6905    0.045678
       116.0     893.050    5764.225   -3927.809       1.860       3.939       6.167        6904    0.045965
       116.1     893.236    5764.619   -3927.193       1.859       3.939       6.167        6903    0.046252
       116.2     893.422    5765.013   -3926.576       1.859       3.939       6.168        6903    0.046539
       116.3     893.608    5765.407   -3925.959       1.859       3.938       6.168        6902    0.046826
       116.4     893.794    5765.801   -3925.342       1.859       3.938       6.169        6902    0.047114
       116.5     893.979    5766.194   -3924.725       1.858       3.937       6.169        6901    0.047401
       116.6     894.165    5766.588   -3924.108       1.858       3.937       6.170        6900    0.047688
       116.7     894.351    5766.982   -3923.491       1.858       3.936       6.171        6900    0.047975
       116.8     894.537    5767.375   -3922.874       1.857       3.936       6.171        6899    0.048262
       116.9     894.722    5767.769   -3922.257       1.857       3.936       6.172        6898    0.048549
       117.0     894.908    5768.163   -3921.640       1.857       3.935       6.172        6898    0.048836
       117.1     895.094    5768.556   -3921.023       1.857       3.935       6.173        6897    0.049123
       117.2     895.280    5768.950   -3920.405       1.856       3.934       6.173        6897    0.049410
       117.3     895.465    5769.343   -3919.788       1.856       3.934       6.174        6896    0.049697
       117.4     895.651    5769.736   -3919.171       1.856       3.933       6.174        6895    0.049985
       117.5     895.836    5770.130   -3918.553       1.856       3.933       6.175        6895    0.050272
       117.6     896.022    5770.523   -3917.936       1.855       3.933       6.175        6894    0.050559
       117.7     896.207    5770.916   -3917.318       1.855       3.932       6.176        6894    0.050846
       117.8     896.393    5771.309   -3916.701       1.855       3.932       6.176        6893    0.051133
       117.9     896.578    5771.702   -3916.083       1.855       3.931       6.177        6892    0.051420
       118.0     896.764    5772.096   -3915.465       1.854       3.931       6.177        6892    0.051707
