
          t        hper         hap 
      101.00     120.092     429.098
      101.10     120.016     429.329
      101.20     119.939     429.560
      101.30     119.863     429.791
      101.40     119.787     430.022
      101.50     119.710     430.254
      101.60     119.634     430.485
      101.70     119.558     430.716
      101.80     119.481     430.947
      101.90     119.405     431.179
      102.00     119.329     431.410
      102.10     119.253     431.641
      102.20     119.176     431.872
      102.30     119.100     432.104
      102.40     119.024     432.335
      102.50     118.948     432.566
      102.60     118.871     432.798
      102.70     118.795     433.029
      102.80     118.719     433.260
      102.90     118.643     433.492
      103.00     118.566     433.723
      103.10     118.490     433.955
      103.20     118.414     434.186
      103.30     118.338     434.417
      103.40     118.262     434.649
      103.50     118.186     434.880
      103.60     118.109     435.112
      103.70     118.033     435.343
      103.80     117.957     435.575
      103.90     117.881     435.806
      104.00     117.805     436.038
      104.10     117.729     436.270
      104.20     117.653     436.501
      104.30     117.577     436.733
      104.40     117.501     436.964
      104.50     117.424     437.196
      104.60     117.348     437.428
      104.70     117.272     437.659
      104.80     117.196     437.891
      104.90     117.120     438.123
      105.00     117.044     438.354
      105.10     116.968     438.586
      105.20     116.892     438.818
      105.30     116.816     439.050
      105.40     116.740     439.281
      105.50     116.664     439.513
      105.60     116.588     439.745
      105.70     116.512     439.977
      105.80     116.436     440.209
      105.90     116.360     440.440
      106.00     116.284     440.672
      106.10     116.208     440.904
      106.20     116.132     441.136
      106.30     116.057     441.368
      106.40     115.981     441.600
      106.50     115.905     441.832
      106.60     115.829     442.064
      106.70     115.753     442.296
      106.80     115.677     442.528
      106.90     115.601     442.760
      107.00     115.525     442.992
      107.10     115.449     443.224
      107.20     115.374     443.456
